family,priority,include,source_tables,selection_note
f001_cash_and_equivalents,1,yes,SF1,Core biotech liquidity and financing-risk signal.
f002_short_term_investments,1,yes,SF1,Extends cash runway with investable liquidity.
f003_cash_runway_quarters,1,yes,SF1,Direct runway proxy for pre-revenue companies.
f004_net_cash_position,1,yes,SF1,Separates cash-rich balance sheets from debt-funded names.
f005_current_liquidity,1,yes,SF1,Near-term solvency context.
f006_quick_liquidity,1,yes,SF1,Conservative liquidity quality.
f007_liabilities_coverage,1,yes,SF1,Balance-sheet stress filter.
f008_cash_burn_rate,1,yes,SF1,Primary biotech survival metric.
f009_free_cash_flow_burn,1,yes,SF1,Cash consumption after capex.
f010_burn_acceleration,1,yes,SF1,Detects worsening spend trajectory.
f011_financing_cash_flow,1,yes,SF1,Financing dependency and recent raises.
f012_operating_cash_quality,1,yes,SF1,Quality of operating cash flows.
f013_capex_and_manufacturing,2,yes,SF1,Manufacturing or facility buildout proxy.
f014_cash_flow_volatility,2,yes,SF1,Stability of burn and financing flows.
f015_cash_tax_and_interest_drag,2,yes,SF1,Non-operating cash drag.
f016_rnd_level,1,yes,SF1,Core pipeline investment level.
f017_rnd_growth,1,yes,SF1,R&D investment acceleration.
f018_rnd_intensity,1,yes,SF1,R&D relative to scale.
f019_rnd_share_of_burn,1,yes,SF1,Distinguishes pipeline spend from overhead burn.
f020_sga_rnd_mix,1,yes,SF1,Commercial/admin burden versus R&D.
f021_stock_compensation,2,yes,SF1,SBC dilution and compensation quality.
f022_debt_level,1,yes,SF1,Debt burden.
f023_debt_maturity_mix,1,yes,SF1,Current versus long-term debt pressure.
f024_net_debt_leverage,1,yes,SF1,Leverage adjusted for cash.
f025_interest_coverage,2,yes,SF1,Debt service risk; sparse for early biotech.
f026_preferred_and_convertible_overhang,1,yes,SF1,Preferred/convertible claim overhang; source aliases fixed.
f027_retained_deficit,1,yes,SF1,Cumulative deficit and maturity proxy.
f028_deferred_revenue,2,yes,SF1,Partnership/upfront payment proxy.
f029_equity_trajectory,1,yes,SF1,Book-equity deterioration or repair.
f030_asset_liability_gap,1,yes,SF1,Solvency spread.
f031_shares_basic,1,yes,SF1,Dilution denominator.
f032_shares_diluted,1,yes,SF1,Diluted share pressure.
f033_equity_issuance_cash,1,yes,SF1,Recent financing and dilution events.
f034_share_factor_splits,2,yes,SF1,Split/reverse split context.
f035_sbc_dilution_pressure,1,yes,SF1,SBC dilution pressure.
f036_market_capitalization,1,yes,SF1,Size and investability context.
f037_enterprise_value,1,yes,SF1,Valuation adjusted for cash/debt.
f038_float_and_tradeable_scale,1,yes,SF1/SEP,Tradability and capacity filter.
f039_asset_base,2,yes,SF1,Asset scale.
f040_tangible_assets,2,yes,SF1,Tangible support.
f041_intangibles_goodwill,2,yes,SF1,Intangible exposure; source aliases fixed.
f042_ppne_and_facilities,2,yes,SF1,Facility/manufacturing footprint.
f043_inventory_build,2,yes,SF1,Commercialization/manufacturing buildup.
f044_receivables_build,2,yes,SF1,Commercial-stage collection risk.
f045_payables_and_accruals,2,yes,SF1,Accrual and vendor financing pressure.
f046_revenue_level,2,yes,SF1,Commercial-stage scale.
f047_revenue_growth,2,yes,SF1,Commercial traction.
f048_revenue_acceleration,2,yes,SF1,Commercial momentum.
f049_revenue_stability,2,yes,SF1,Revenue durability.
f050_revenue_quality,2,yes,SF1,Revenue/cash quality.
