number,family_slug,prefix,function_prefix,scope,primary_column,secondary_column,kind,files,features
1,technology_f01_technology_price_momentum,tpm,cg_f01_technology_f01_technology_price_momentum,multi-horizon returns for technology equities vs own history,closeadj,volume,numeric,4,450
2,technology_f02_technology_relative_strength,trs,cg_f02_technology_f02_technology_relative_strength,"strength vs sector, industry, Nasdaq proxy, and market beta",close,volume,numeric,4,450
3,technology_f03_technology_trend_quality,ttq,cg_f03_technology_f03_technology_trend_quality,"moving-average alignment, trend persistence, trend smoothness",open,close,numeric,4,450
4,technology_f04_technology_breakout_structure,tbs,cg_f04_technology_f04_technology_breakout_structure,"52w/252d breakouts, failed breakouts, post-base expansion",high,low,numeric,4,450
5,technology_f05_technology_volume_accumulation,tva,cg_f05_technology_f05_technology_volume_accumulation,"accumulation volume, up/down volume, volume confirmation",closeadj,ma50d,numeric,4,450
6,technology_f06_technology_liquidity_depth,tld,cg_f06_technology_f06_technology_liquidity_depth,"dollar volume, turnover, liquidity expansion/contraction",closeadj,ma200d,numeric,4,450
7,technology_f07_technology_volatility_regime,tvr,cg_f07_technology_f07_technology_volatility_regime,"realized vol, vol compression, vol expansion, vol-of-vol",volume,volumeavg1m,numeric,4,450
8,technology_f08_technology_gap_behavior,tgb,cg_f08_technology_f08_technology_gap_behavior,"earnings gaps, continuation gaps, gap-fill/failure dynamics",volume,volumeavg3m,numeric,4,450
9,technology_f09_technology_drawdown_resilience,tdr,cg_f09_technology_f09_technology_drawdown_resilience,"drawdown depth, recovery speed, higher-low behavior",closeadj,high52w,numeric,4,450
10,technology_f10_technology_price_compression,tpc,cg_f10_technology_f10_technology_price_compression,"range compression, volatility squeeze, base tightness",closeadj,low52w,numeric,4,450
11,technology_f11_technology_market_impact_proxy,tmi,cg_f11_technology_f11_technology_market_impact_proxy,"market impact proxies using return, liquidity, and dollar-volume stress",return1y,return5y,numeric,4,450
12,technology_f12_technology_institutional_price_action,tip,cg_f12_technology_f12_technology_institutional_price_action,"institutional price-action proxies from beta stability, volume support, and price persistence",beta1y,beta5y,numeric,4,450
13,technology_f13_technology_beta_rotation,tbr,cg_f13_technology_f13_technology_beta_rotation,beta rotation and risk-on/risk-off transitions for technology equities,marketcap,volume,numeric,4,450
14,technology_f14_technology_short_term_reversal,tsr,cg_f14_technology_f14_technology_short_term_reversal,short-term reversal pressure after technology price and valuation extensions,ev,marketcap,numeric,4,450
15,technology_f15_technology_event_price_response,tepr,cg_f15_technology_f15_technology_event_price_response,"event response proxies from price shock, valuation reset, and volume confirmation",ps,pe,numeric,4,450
16,technology_f16_revenue_growth_durability,rgd,cg_f16_technology_f16_revenue_growth_durability,durable technology revenue growth adjusted for asset base and market valuation,revenue,assets,numeric,4,450
17,technology_f17_revenue_acceleration_quality,raq,cg_f17_technology_f17_revenue_acceleration_quality,quality of technology revenue acceleration across reported and USD revenue,revenue,revenueusd,numeric,4,450
18,technology_f18_gross_margin_power,gmp,cg_f18_technology_f18_gross_margin_power,gross margin power and monetization quality for technology companies,grossmargin,netmargin,numeric,4,450
